,datetime,open,high,low,close,volume
158,2020-11-20 05:25:00,29307.92,29307.92,29300.52,29304.52,72
159,2020-11-20 05:26:00,29304.52,29304.52,29301.92,29302.92,22
160,2020-11-20 05:27:00,29302.92,29304.52,29299.92,29301.92,44
161,2020-11-20 05:28:00,29301.92,29304.52,29300.52,29301.52,37
162,2020-11-20 05:29:00,29301.52,29301.52,29297.92,29297.92,34
163,2020-11-20 05:30:00,29297.92,29312.92,29297.92,29310.92,89
164,2020-11-20 05:31:00,29310.92,29319.92,29310.92,29317.92,72
165,2020-11-20 05:32:00,29317.92,29317.92,29309.92,29309.92,62
166,2020-11-20 05:33:00,29309.92,29309.92,29302.92,29306.92,73
167,2020-11-20 05:34:00,29306.92,29306.92,29303.92,29304.92,22
168,2020-11-20 05:35:00,29304.92,29307.92,29303.92,29306.92,38
169,2020-11-20 05:36:00,29306.92,29308.52,29302.92,29305.92,36
170,2020-11-20 05:37:00,29305.92,29311.52,29305.92,29308.92,49
171,2020-11-20 05:38:00,29308.92,29315.52,29308.92,29314.92,40
172,2020-11-20 05:39:00,29314.92,29314.92,29306.92,29310.52,80
173,2020-11-20 05:40:00,29310.52,29316.52,29310.52,29316.52,46
174,2020-11-20 05:41:00,29316.52,29321.92,29315.92,29319.52,58
175,2020-11-20 05:42:00,29319.52,29322.92,29318.92,29319.52,69
176,2020-11-20 05:43:00,29319.52,29322.92,29317.52,29317.92,53
177,2020-11-20 05:44:00,29317.92,29317.92,29311.92,29313.92,58
178,2020-11-20 05:45:00,29313.92,29314.92,29306.92,29306.92,138
179,2020-11-20 05:46:00,29306.92,29308.92,29301.52,29308.52,81
180,2020-11-20 05:47:00,29308.52,29310.92,29307.52,29307.52,45
181,2020-11-20 05:48:00,29307.52,29310.52,29306.92,29308.92,42
182,2020-11-20 05:49:00,29308.92,29312.92,29307.92,29308.92,50
183,2020-11-20 05:50:00,29308.92,29312.52,29305.92,29306.92,60
184,2020-11-20 05:51:00,29306.92,29321.52,29305.92,29314.92,147
185,2020-11-20 05:52:00,29314.92,29315.52,29310.92,29312.92,49
186,2020-11-20 05:53:00,29312.92,29313.52,29308.92,29310.92,24
187,2020-11-20 05:54:00,29310.92,29311.92,29305.92,29306.52,31
188,2020-11-20 05:55:00,29306.52,29313.52,29306.52,29312.92,39
189,2020-11-20 05:56:00,29312.92,29314.52,29307.92,29310.52,72
190,2020-11-20 05:57:00,29310.52,29314.92,29307.52,29314.52,110
191,2020-11-20 05:58:00,29314.52,29315.92,29311.92,29312.52,32
192,2020-11-20 05:59:00,29312.52,29318.92,29311.92,29316.92,74
193,2020-11-20 06:00:00,29316.92,29316.92,29312.92,29314.92,106
194,2020-11-20 06:01:00,29314.92,29316.52,29311.92,29313.92,51
195,2020-11-20 06:02:00,29313.92,29315.52,29300.92,29302.92,146
196,2020-11-20 06:03:00,29302.92,29306.92,29300.92,29304.92,53
197,2020-11-20 06:04:00,29304.92,29305.52,29293.52,29297.92,63
198,2020-11-20 06:05:00,29297.92,29301.92,29297.92,29301.92,31
199,2020-11-20 06:06:00,29301.92,29301.92,29298.92,29298.92,4
